기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740700,둔촌2동,CS200012,법무사사무소,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS200010,변호사사무소,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS200009,동물병원,4,4,0,0,0,0,0
20261,11740700,둔촌2동,CS200008,한의원,7,7,0,0,0,0,0
20261,11740700,둔촌2동,CS200007,치과의원,10,10,0,0,0,0,0
20261,11740700,둔촌2동,CS200006,일반의원,14,14,0,0,0,0,0
20261,11740700,둔촌2동,CS200005,스포츠 강습,22,22,0,5,1,5,1
20261,11740700,둔촌2동,CS200003,예술학원,26,24,2,0,0,0,0
20261,11740700,둔촌2동,CS200002,외국어학원,5,5,0,0,0,0,0
20261,11740700,둔촌2동,CS200001,일반교습학원,57,48,9,0,0,2,1
20261,11740700,둔촌2동,CS100010,커피-음료,55,47,8,0,0,2,1
20261,11740700,둔촌2동,CS100009,호프-간이주점,24,20,4,0,0,0,0
20261,11740700,둔촌2동,CS100008,분식전문점,21,17,4,0,0,0,0
20261,11740700,둔촌2동,CS100007,치킨전문점,12,5,7,0,0,0,0
20261,11740700,둔촌2동,CS100006,패스트푸드점,7,5,2,0,0,0,0
20261,11740700,둔촌2동,CS100005,제과점,15,12,3,13,2,0,0
20261,11740700,둔촌2동,CS100004,양식음식점,13,11,2,8,1,0,0
20261,11740700,둔촌2동,CS100003,일식음식점,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS100002,중식음식점,5,4,1,0,0,0,0
20261,11740700,둔촌2동,CS100001,한식음식점,100,93,7,4,4,4,4
20261,11740690,둔촌1동,CS300041,예술품,1,1,0,100,1,0,0
20261,11740690,둔촌1동,CS300034,악기,2,2,0,0,0,0,0
20261,11740690,둔촌1동,CS300032,가전제품,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300031,가구,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300029,애완동물,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300028,화초,7,7,0,0,0,0,0
20261,11740690,둔촌1동,CS300027,섬유제품,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300022,화장품,1,1,0,100,1,100,1
20261,11740690,둔촌1동,CS300019,의료기기,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300018,의약품,21,18,3,5,1,0,0
20261,11740690,둔촌1동,CS300017,시계및귀금속,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300016,안경,2,2,0,0,0,0,0
20261,11740690,둔촌1동,CS300013,유아의류,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS300011,일반의류,6,6,0,17,1,33,2
20261,11740690,둔촌1동,CS300010,반찬가게,5,5,0,0,0,0,0
20261,11740690,둔촌1동,CS300009,청과상,2,2,0,0,0,0,0
20261,11740690,둔촌1동,CS300007,육류판매,8,8,0,13,1,0,0
20261,11740690,둔촌1동,CS300006,미곡판매,2,2,0,0,0,0,0
20261,11740690,둔촌1동,CS300002,편의점,6,1,5,0,0,17,1
20261,11740690,둔촌1동,CS300001,슈퍼마켓,10,6,4,0,0,0,0
20261,11740690,둔촌1동,CS200042,통번역서비스,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS200038,독서실,2,2,0,50,1,0,0
20261,11740690,둔촌1동,CS200033,부동산중개업,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS200031,세탁소,6,1,5,0,0,0,0
20261,11740690,둔촌1동,CS200030,피부관리실,9,9,0,0,0,0,0
20261,11740690,둔촌1동,CS200028,미용실,11,3,8,0,0,0,0
20261,11740690,둔촌1동,CS200017,골프연습장,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS200009,동물병원,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS200008,한의원,4,4,0,25,1,25,1
20261,11740690,둔촌1동,CS200007,치과의원,4,4,0,25,1,0,0
20261,11740690,둔촌1동,CS200006,일반의원,16,16,0,0,0,0,0
20261,11740690,둔촌1동,CS200005,스포츠 강습,8,8,0,13,1,0,0
20261,11740690,둔촌1동,CS200003,예술학원,13,10,3,0,0,0,0
20261,11740690,둔촌1동,CS200002,외국어학원,6,6,0,17,1,0,0
20261,11740690,둔촌1동,CS200001,일반교습학원,21,17,4,0,0,5,1
20261,11740690,둔촌1동,CS100010,커피-음료,15,8,7,7,1,0,0
20261,11740690,둔촌1동,CS100009,호프-간이주점,3,3,0,0,0,0,0
20261,11740690,둔촌1동,CS100008,분식전문점,6,4,2,17,1,0,0
20261,11740690,둔촌1동,CS100007,치킨전문점,2,1,1,0,0,0,0
20261,11740690,둔촌1동,CS100006,패스트푸드점,1,1,0,0,0,0,0
20261,11740690,둔촌1동,CS100005,제과점,6,2,4,0,0,0,0
20261,11740690,둔촌1동,CS100004,양식음식점,1,0,1,0,0,0,0
20261,11740690,둔촌1동,CS100003,일식음식점,3,1,2,0,0,0,0
20261,11740690,둔촌1동,CS100001,한식음식점,14,12,2,7,1,0,0
20261,11740685,길동,CS300043,전자상거래업,84,84,0,0,0,11,9
20261,11740685,길동,CS300042,주유소,2,2,0,0,0,0,0
20261,11740685,길동,CS300041,예술품,6,6,0,0,0,0,0
20261,11740685,길동,CS300040,재생용품 판매점,5,5,0,0,0,0,0
20261,11740685,길동,CS300039,모터사이클및부품,1,1,0,0,0,0,0
20261,11740685,길동,CS300038,자동차부품,16,16,0,0,0,0,0
20261,11740685,길동,CS300037,중고차판매,2,2,0,0,0,0,0
20261,11740685,길동,CS300036,조명용품,29,29,0,0,0,0,0
20261,11740685,길동,CS300035,인테리어,25,25,0,0,0,0,0
20261,11740685,길동,CS300034,악기,1,1,0,0,0,0,0
20261,11740685,길동,CS300033,철물점,10,10,0,0,0,0,0
20261,11740685,길동,CS300032,가전제품,14,14,0,0,0,0,0
20261,11740685,길동,CS300031,가구,6,6,0,17,1,0,0
20261,11740685,길동,CS300029,애완동물,20,17,3,10,2,0,0
20261,11740685,길동,CS300028,화초,46,46,0,2,1,2,1
20261,11740685,길동,CS300027,섬유제품,16,16,0,0,0,0,0
20261,11740685,길동,CS300026,완구,6,6,0,0,0,0,0
20261,11740685,길동,CS300025,자전거 및 기타운송장비,4,4,0,0,0,0,0
20261,11740685,길동,CS300024,운동/경기용품,21,21,0,0,0,0,0
20261,11740685,길동,CS300023,미용재료,10,10,0,0,0,0,0
20261,11740685,길동,CS300022,화장품,49,49,0,0,0,0,0
20261,11740685,길동,CS300021,문구,14,12,2,7,1,0,0
20261,11740685,길동,CS300020,서적,19,19,0,0,0,0,0
20261,11740685,길동,CS300019,의료기기,32,30,2,0,0,3,1
20261,11740685,길동,CS300018,의약품,48,44,4,2,1,4,2
20261,11740685,길동,CS300017,시계및귀금속,11,11,0,0,0,0,0
20261,11740685,길동,CS300016,안경,10,5,5,0,0,0,0
20261,11740685,길동,CS300015,가방,9,8,1,0,0,0,0
20261,11740685,길동,CS300014,신발,9,9,0,0,0,0,0
20261,11740685,길동,CS300013,유아의류,4,3,1,0,0,0,0
20261,11740685,길동,CS300011,일반의류,92,92,0,2,2,1,1
20261,11740685,길동,CS300010,반찬가게,64,61,3,0,0,5,3
20261,11740685,길동,CS300009,청과상,49,49,0,2,1,0,0
20261,11740685,길동,CS300008,수산물판매,31,29,2,0,0,0,0
20261,11740685,길동,CS300007,육류판매,28,27,1,0,0,7,2
20261,11740685,길동,CS300006,미곡판매,13,13,0,0,0,0,0
20261,11740685,길동,CS300005,주류도매,6,6,0,0,0,0,0
20261,11740685,길동,CS300004,핸드폰,52,51,1,0,0,4,2
20261,11740685,길동,CS300003,컴퓨터및주변장치판매,26,26,0,0,0,0,0
20261,11740685,길동,CS300002,편의점,37,11,26,0,0,3,1
20261,11740685,길동,CS300001,슈퍼마켓,68,52,16,4,3,2,1
20261,11740685,길동,CS200047,가정용품임대,8,8,0,0,0,0,0
20261,11740685,길동,CS200046,의류임대,3,3,0,0,0,33,1
20261,11740685,길동,CS200045,비디오/서적임대,2,1,1,0,0,0,0
20261,11740685,길동,CS200044,여행사,14,14,0,0,0,7,1
20261,11740685,길동,CS200043,건축물청소,35,34,1,0,0,0,0
20261,11740685,길동,CS200042,통번역서비스,3,3,0,0,0,0,0
20261,11740685,길동,CS200041,사진관,30,30,0,0,0,3,1
20261,11740685,길동,CS200040,녹음실,6,6,0,0,0,0,0
20261,11740685,길동,CS200039,DVD방,4,4,0,50,2,0,0
20261,11740685,길동,CS200038,독서실,13,12,1,8,1,15,2
20261,11740685,길동,CS200037,노래방,41,40,1,0,0,0,0
20261,11740685,길동,CS200034,여관,38,37,1,5,2,3,1
20261,11740685,길동,CS200033,부동산중개업,194,194,0,0,0,2,4
20261,11740685,길동,CS200032,가전제품수리,23,23,0,0,0,0,0
20261,11740685,길동,CS200031,세탁소,31,26,5,3,1,10,3
20261,11740685,길동,CS200030,피부관리실,59,56,3,2,1,0,0
20261,11740685,길동,CS200029,네일숍,34,34,0,0,0,6,2
20261,11740685,길동,CS200028,미용실,131,120,11,2,2,5,7
20261,11740685,길동,CS200026,자동차미용,11,10,1,0,0,0,0
20261,11740685,길동,CS200025,자동차수리,35,33,2,0,0,0,0
20261,11740685,길동,CS200024,스포츠클럽,28,26,2,0,0,14,4
20261,11740685,길동,CS200023,통신기기수리,2,2,0,0,0,0,0
20261,11740685,길동,CS200022,복권방,7,7,0,0,0,0,0
20261,11740685,길동,CS200021,기타오락장,3,3,0,0,0,0,0
20261,11740685,길동,CS200020,전자게임장,2,2,0,0,0,0,0
